
Begin Step 0, Time: 0, Systemstep: 0
Begin Step 344, Time: 2.62451, Systemstep: 0.00762939

Begin Step 345, Time: 2.63214, Systemstep: 0.00762939

Begin Step 346, Time: 2.63977, Systemstep: 0.00762939

Begin Step 347, Time: 2.6474, Systemstep: 0.00762939

Begin Step 348, Time: 2.65503, Systemstep: 0.00762939

Begin Step 349, Time: 2.66266, Systemstep: 0.00762939

Begin Step 350, Time: 2.67029, Systemstep: 0.00762939

Begin Step 351, Time: 2.67792, Systemstep: 0.00762939

Begin Step 352, Time: 2.68555, Systemstep: 0.00762939

Begin Step 353, Time: 2.69318, Systemstep: 0.00762939

Begin Step 354, Time: 2.70081, Systemstep: 0.00762939

Begin Step 355, Time: 2.70844, Systemstep: 0.00762939

Begin Step 356, Time: 2.71606, Systemstep: 0.00762939

Begin Step 357, Time: 2.72369, Systemstep: 0.00762939

Begin Step 358, Time: 2.73132, Systemstep: 0.00762939

Begin Step 359, Time: 2.73895, Systemstep: 0.00762939

Begin Step 360, Time: 2.74658, Systemstep: 0.00762939

Begin Step 361, Time: 2.75421, Systemstep: 0.00762939

Begin Step 362, Time: 2.76184, Systemstep: 0.00762939

Begin Step 363, Time: 2.76947, Systemstep: 0.00762939

Begin Step 364, Time: 2.7771, Systemstep: 0.00762939

Begin Step 365, Time: 2.78473, Systemstep: 0.00762939

Begin Step 366, Time: 2.79236, Systemstep: 0.00762939

Begin Step 367, Time: 2.79999, Systemstep: 0.00762939

Begin Step 368, Time: 2.80762, Systemstep: 0.00762939

Begin Step 369, Time: 2.81525, Systemstep: 0.00762939

Begin Step 370, Time: 2.82288, Systemstep: 0.00762939

Begin Step 371, Time: 2.83051, Systemstep: 0.00762939

Begin Step 372, Time: 2.83813, Systemstep: 0.00762939

Begin Step 373, Time: 2.84576, Systemstep: 0.00762939

Begin Step 374, Time: 2.85339, Systemstep: 0.00762939

Begin Step 375, Time: 2.86102, Systemstep: 0.00762939

Begin Step 376, Time: 2.86865, Systemstep: 0.00762939

Begin Step 377, Time: 2.87628, Systemstep: 0.00762939

Begin Step 378, Time: 2.88391, Systemstep: 0.00762939

Begin Step 379, Time: 2.89154, Systemstep: 0.00762939

Begin Step 380, Time: 2.89917, Systemstep: 0.00762939

Begin Step 381, Time: 2.9068, Systemstep: 0.00762939

Begin Step 382, Time: 2.91443, Systemstep: 0.00762939

Begin Step 383, Time: 2.92206, Systemstep: 0.00762939

Begin Step 384, Time: 2.92969, Systemstep: 0.00762939

Begin Step 385, Time: 2.93732, Systemstep: 0.00762939

Begin Step 386, Time: 2.94495, Systemstep: 0.00762939

Begin Step 387, Time: 2.95258, Systemstep: 0.00762939

Begin Step 388, Time: 2.96021, Systemstep: 0.00762939

Begin Step 389, Time: 2.96783, Systemstep: 0.00762939

Begin Step 390, Time: 2.97546, Systemstep: 0.00762939

Begin Step 391, Time: 2.98309, Systemstep: 0.00762939

Begin Step 392, Time: 2.99072, Systemstep: 0.00762939

Begin Step 393, Time: 2.99835, Systemstep: 0.00762939

Begin Step 394, Time: 3.00598, Systemstep: 0.00762939

Begin Step 395, Time: 3.01361, Systemstep: 0.00762939

Begin Step 396, Time: 3.02124, Systemstep: 0.00762939

Begin Step 397, Time: 3.02887, Systemstep: 0.00762939

Begin Step 398, Time: 3.0365, Systemstep: 0.00762939

Begin Step 399, Time: 3.04413, Systemstep: 0.00762939

Begin Step 400, Time: 3.05176, Systemstep: 0.00762939

Begin Step 401, Time: 3.05939, Systemstep: 0.00762939

Begin Step 402, Time: 3.06702, Systemstep: 0.00762939

Begin Step 403, Time: 3.07465, Systemstep: 0.00762939

Begin Step 404, Time: 3.08228, Systemstep: 0.00762939

Begin Step 405, Time: 3.0899, Systemstep: 0.00762939

Begin Step 406, Time: 3.09753, Systemstep: 0.00762939

Begin Step 407, Time: 3.10516, Systemstep: 0.00762939

Begin Step 408, Time: 3.11279, Systemstep: 0.00762939

Begin Step 409, Time: 3.12042, Systemstep: 0.00762939

Begin Step 410, Time: 3.12805, Systemstep: 0.00762939

Begin Step 411, Time: 3.13568, Systemstep: 0.00762939

Begin Step 412, Time: 3.14331, Systemstep: 0.00762939

Begin Step 413, Time: 3.15094, Systemstep: 0.00762939

Begin Step 414, Time: 3.15857, Systemstep: 0.00762939

Begin Step 415, Time: 3.1662, Systemstep: 0.00762939

Begin Step 416, Time: 3.17383, Systemstep: 0.00762939

Begin Step 417, Time: 3.18146, Systemstep: 0.00762939

Begin Step 418, Time: 3.18909, Systemstep: 0.00762939

Begin Step 419, Time: 3.19672, Systemstep: 0.00762939

Begin Step 420, Time: 3.20435, Systemstep: 0.00762939

Begin Step 421, Time: 3.21198, Systemstep: 0.00762939

Begin Step 422, Time: 3.2196, Systemstep: 0.00762939

Begin Step 423, Time: 3.22723, Systemstep: 0.00762939

Begin Step 424, Time: 3.23486, Systemstep: 0.00762939

Begin Step 425, Time: 3.24249, Systemstep: 0.00762939

Begin Step 426, Time: 3.25012, Systemstep: 0.00762939

Begin Step 427, Time: 3.25775, Systemstep: 0.00762939

Begin Step 428, Time: 3.26538, Systemstep: 0.00762939

Begin Step 429, Time: 3.27301, Systemstep: 0.00762939

Begin Step 430, Time: 3.28064, Systemstep: 0.00762939

Begin Step 431, Time: 3.28827, Systemstep: 0.00762939

Begin Step 432, Time: 3.2959, Systemstep: 0.00762939

Begin Step 433, Time: 3.30353, Systemstep: 0.00762939

Begin Step 434, Time: 3.31116, Systemstep: 0.00762939

Begin Step 435, Time: 3.31879, Systemstep: 0.00762939

Begin Step 436, Time: 3.32642, Systemstep: 0.00762939

Begin Step 437, Time: 3.33405, Systemstep: 0.00762939

Begin Step 438, Time: 3.34167, Systemstep: 0.00762939

Begin Step 439, Time: 3.3493, Systemstep: 0.00762939

Begin Step 440, Time: 3.35693, Systemstep: 0.00762939

Begin Step 441, Time: 3.36456, Systemstep: 0.00762939

Begin Step 442, Time: 3.37219, Systemstep: 0.00762939

Begin Step 443, Time: 3.37982, Systemstep: 0.00762939

Begin Step 444, Time: 3.38745, Systemstep: 0.00762939

Begin Step 445, Time: 3.39508, Systemstep: 0.00762939

Begin Step 446, Time: 3.40271, Systemstep: 0.00762939

Begin Step 447, Time: 3.41034, Systemstep: 0.00762939

Begin Step 448, Time: 3.41797, Systemstep: 0.00762939

